TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating
1,734,2019,11,Family,475,4.0
2,171,2022,9,Business,121,1.4
3,325,2019,10,Friends,34,4.6
4,488,2023,2,Solo,230,1.9
5,863,2019,7,Couples,162,3.6
6,704,2023,11,Business,54,1.7
7,309,2019,1,Business,318,2.1
8,492,2018,6,Couples,405,3.2
9,679,2021,11,Solo,410,4.3
10,837,2021,7,Business,210,1.7
11,493,2023,11,Friends,189,3.4
12,389,2019,4,Couples,419,1.8
13,298,2023,11,Couples,53,1.4
14,378,2018,8,Business,199,3.2
15,158,2023,10,Couples,276,1.7
16,521,2019,3,Friends,160,3.1
17,327,2019,6,Solo,421,3.8
18,630,2021,5,Solo,334,3.1
19,816,2023,3,Friends,282,1.8
20,465,2020,11,Couples,151,1.3
21,754,2023,10,Couples,335,3.0
22,768,2020,12,Business,110,4.1
23,562,2018,12,Solo,270,3.0
24,691,2020,5,Family,68,1.3
25,356,2021,1,Solo,76,2.1
26,59,2022,6,Couples,329,2.5
27,100,2021,11,Friends,214,3.9
28,83,2018,10,Friends,254,4.1
29,516,2021,7,Family,45,4.0
30,650,2022,2,Couples,197,4.9
31,275,2018,6,Business,332,2.6
32,985,2019,8,Friends,109,4.2
33,353,2020,10,Solo,337,1.5
34,67,2020,12,Business,246,1.4
35,286,2023,6,Family,57,1.7
36,380,2020,12,Family,11,4.4
37,511,2022,11,Family,194,2.2
38,100,2019,2,Friends,421,2.4
39,137,2021,4,Friends,225,4.8
40,749,2022,1,Business,350,1.5
41,98,2019,9,Friends,375,5.0
42,107,2021,1,Couples,377,3.0
43,511,2022,1,Couples,206,2.4
44,325,2023,1,Friends,268,2.3
45,326,2021,1,Family,252,2.0
46,834,2022,10,Family,490,3.5
47,419,2020,4,Friends,400,1.8
48,548,2019,11,Friends,284,4.3
49,227,2023,8,Friends,225,2.1
50,548,2022,10,Couples,210,4.2
51,633,2019,3,Solo,177,1.5
52,729,2018,7,Family,287,2.8
53,803,2018,6,Business,144,2.1
54,225,2018,2,Business,91,2.6
55,994,2023,11,Solo,225,2.5
56,845,2021,2,Solo,300,2.9
57,740,2019,4,Friends,385,4.1
58,435,2023,6,Family,335,2.4
59,597,2020,12,Friends,356,1.7
60,597,2023,7,Business,461,3.9
61,942,2019,9,Business,50,1.8
62,181,2018,11,Couples,254,2.9
63,336,2019,5,Friends,358,1.3
64,944,2018,6,Friends,314,3.6
65,49,2019,5,Business,384,4.5
66,215,2022,6,Friends,186,1.5
67,469,2022,8,Family,382,4.5
68,368,2020,12,Business,8,2.0
69,775,2021,9,Solo,105,4.9
70,935,2018,12,Solo,338,4.5
71,84,2021,3,Friends,164,3.7
72,38,2020,7,Family,385,3.4
73,836,2022,12,Couples,434,1.6
74,145,2021,2,Solo,350,2.2
75,411,2018,4,Couples,399,1.4
76,269,2019,6,Friends,363,1.4
77,412,2020,8,Family,166,3.8
78,524,2022,3,Business,282,4.3
79,796,2020,10,Family,407,1.3
80,499,2019,12,Business,370,1.7
81,702,2023,5,Friends,321,4.7
82,723,2022,3,Couples,229,3.7
83,582,2021,5,Business,315,1.2
84,982,2019,11,Friends,401,1.1
85,853,2023,1,Couples,300,1.8
86,638,2021,9,Solo,340,4.3
87,987,2021,8,Business,36,3.1
88,85,2018,11,Solo,32,4.5
89,482,2020,9,Couples,151,4.7
90,617,2018,12,Business,216,4.8
91,178,2019,2,Business,284,1.7
92,641,2023,5,Solo,387,1.4
93,34,2020,9,Solo,223,1.5
94,454,2021,5,Solo,492,1.5
95,106,2020,6,Couples,246,2.1
96,36,2020,6,Business,182,4.7
97,357,2019,7,Friends,331,3.5
98,150,2021,10,Couples,224,1.8
99,129,2023,6,Solo,367,3.9
100,756,2021,4,Solo,22,3.6
101,836,2022,8,Business,361,3.7
102,272,2021,12,Business,381,1.1
103,638,2023,4,Friends,62,4.2
104,734,2022,10,Business,113,4.5
105,739,2023,12,Couples,483,1.7
106,151,2023,1,Solo,351,1.9
107,449,2021,10,Family,136,1.3
108,420,2019,7,Solo,313,2.8
109,531,2018,1,Family,382,2.3
110,905,2022,9,Friends,249,2.1
111,497,2022,11,Family,37,1.5
112,934,2018,4,Friends,260,3.6
113,100,2021,7,Friends,293,4.4
114,124,2023,9,Business,255,2.9
115,495,2020,6,Couples,307,2.6
116,114,2022,5,Couples,88,3.6
117,170,2022,1,Couples,20,2.2
118,467,2018,2,Family,112,2.1
119,459,2020,10,Friends,155,2.0
120,753,2023,10,Solo,474,2.4
121,277,2021,9,Couples,499,4.8
122,456,2023,4,Business,196,2.8
123,53,2021,9,Solo,16,1.2
124,936,2021,3,Friends,380,4.3
125,188,2020,1,Friends,301,2.2
126,88,2021,10,Family,371,2.3
127,954,2022,6,Friends,189,4.6
128,581,2020,3,Family,298,4.9
129,640,2020,9,Family,435,3.5
130,1,2022,7,Business,418,3.4
131,148,2022,12,Couples,364,3.8
132,753,2022,2,Friends,91,4.7
133,233,2022,12,Solo,236,1.2
134,878,2021,8,Friends,228,4.4
135,232,2020,11,Couples,307,1.0
136,784,2022,3,Friends,158,1.6
137,921,2022,2,Solo,481,2.3
138,76,2021,12,Business,239,1.1
139,686,2018,10,Family,337,4.7
140,858,2022,8,Couples,190,4.9
141,266,2021,7,Family,108,1.9
142,612,2018,8,Family,405,4.6
143,472,2020,9,Business,343,2.3
144,722,2022,10,Couples,161,2.1
145,669,2018,5,Friends,388,2.0
146,549,2018,10,Couples,38,3.8
147,883,2020,10,Business,395,2.5
148,14,2018,12,Couples,129,3.1
